category;title;price;available_quantity;sold_quantity;permalink
fire stick;Amazon Reproductor Multimedia Fire Tv Stick 4k;7900;1;1;https://articulo.mercadolibre.com.ar/MLA-868449113-amazon-reproductor-multimedia-fire-tv-stick-4k-_JM
fire stick;Amazon Fire Tv Stick 4k  De Voz 4k 8gb  Memoria 1gb;8850;1;0;https://articulo.mercadolibre.com.ar/MLA-901470587-amazon-fire-tv-stick-4k-de-voz-4k-8gb-memoria-1gb-_JM
fire stick;Amazon Fire Tv Stick 2da Generacion Voz Full Hd 8gb;8609;1;0;https://articulo.mercadolibre.com.ar/MLA-876150747-amazon-fire-tv-stick-2da-generacion-voz-full-hd-8gb-_JM
fire stick;Fire Tv Stick;10500;1;0;https://articulo.mercadolibre.com.ar/MLA-900642499-fire-tv-stick-_JM
fire stick;Fire Tv Stick De Amazon Stream Con Alexa Nuevo;11999;1;1;https://articulo.mercadolibre.com.ar/MLA-854733282-fire-tv-stick-de-amazon-stream-con-alexa-nuevo-_JM
fire stick;Fire Tv Stick 4k Amazon Control Remoto X Voz 1.5gb Ram 8gb;7949.99;1;1;https://articulo.mercadolibre.com.ar/MLA-898873533-fire-tv-stick-4k-amazon-control-remoto-x-voz-15gb-ram-8gb-_JM
fire stick;Fire Tv Stick;9499;1;0;https://articulo.mercadolibre.com.ar/MLA-898243309-fire-tv-stick-_JM
fire stick;Amazon Fire Tv Stick 4k Con Alexa Voice Remote 2da Ge Cuotas;11444;1;1;https://articulo.mercadolibre.com.ar/MLA-825523916-amazon-fire-tv-stick-4k-con-alexa-voice-remote-2da-ge-cuotas-_JM
fire stick;Amazon Fire Tv Stick Lite  De Voz Full Hd 8gb  Negro Start;6268.68;1;0;https://articulo.mercadolibre.com.ar/MLA-902678389-amazon-fire-tv-stick-lite-de-voz-full-hd-8gb-negro-start-_JM
fire stick;Amazon Fire Tv Stick 4k Con Alexa Voice Remote 2da Gen Netfl;8941;1;3;https://articulo.mercadolibre.com.ar/MLA-825524983-amazon-fire-tv-stick-4k-con-alexa-voice-remote-2da-gen-netfl-_JM
fire stick;Fire Tv Stick 4k Amazon Control Remoto X Voz 1.5gb Ram 8gb;7999.99;1;0;https://articulo.mercadolibre.com.ar/MLA-898875357-fire-tv-stick-4k-amazon-control-remoto-x-voz-15gb-ram-8gb-_JM
fire stick;Amazon Diré Tv Stick 4k Alexandro Control Por Voz;8500;1;0;https://articulo.mercadolibre.com.ar/MLA-869722079-amazon-dire-tv-stick-4k-alexandro-control-por-voz-_JM
fire stick;Izalo: Amazon Fire Tv Stick Full Hd 1080p + Mercadopago;7999;1;1;https://articulo.mercadolibre.com.ar/MLA-874120041-izalo-amazon-fire-tv-stick-full-hd-1080p-mercadopago-_JM
fire stick;Amazon Fire Tv Stick (2nd Generation) Full Hd 8gb - Alexa;7500;1;0;https://articulo.mercadolibre.com.ar/MLA-901990646-amazon-fire-tv-stick-2nd-generation-full-hd-8gb-alexa-_JM
fire stick;Amazon Fire Tv Stick;7800;1;0;https://articulo.mercadolibre.com.ar/MLA-898707580-amazon-fire-tv-stick-_JM
fire stick;Izalo: Amazon Fire Tv Stick Full Hd 1080p + Mercadopago;9699;1;0;https://articulo.mercadolibre.com.ar/MLA-874118834-izalo-amazon-fire-tv-stick-full-hd-1080p-mercadopago-_JM
